"date","obs_gdp","obs_corepce","obs_ffr"
"1983-03-31",0.996219,0.27220144,8.6533333
"1983-06-30",1.9871645,4.5993067,8.8033333
"1983-09-30",1.7135544,3.8815764,9.46
"1983-12-31",1.7873392,3.9761759,9.43
"1984-03-31",1.706049,5.6311292,9.6866667
"1984-06-30",1.4702848,3.7534655,10.556667
"1984-09-30",0.7318919,3.4632251,11.39
"1984-12-31",0.58340721,3.4334975,9.2666667
"1985-03-31",0.69288335,3.6552956,8.4766667
"1985-06-30",0.61313503,3.6221949,7.9233333
"1985-09-30",1.3124225,2.4790907,7.9
"1985-12-31",0.52293452,4.057204,8.1033333
"1986-03-31",0.70073514,2.0741239,7.8266667
"1986-06-30",0.15289176,-1.9518185,6.92
"1986-09-30",0.71051201,2.4382886,6.2066667
"1986-12-31",0.26062387,2.7857796,6.2666667
"1987-03-31",0.394615,4.7990978,6.22
"1987-06-30",0.86077046,4.5064218,6.65
"1987-09-30",0.67919479,4.2229131,6.8433333
"1987-12-31",1.5151159,3.7166353,6.9166667
"1988-03-31",0.27564144,3.1092714,6.6633333
"1988-06-30",1.0661438,4.5623534,7.1566667
"1988-09-30",0.34407705,4.8471778,7.9833333
"1988-12-31",1.1340883,4.3460519,8.47
"1989-03-31",0.88065851,4.5185768,9.4433333
"1989-06-30",0.48041228,6.4140524,9.7266667
"1989-09-30",0.53232665,3.1153642,9.0833333
"1989-12-31",0.069165999,4.0458157,8.6133333
"1990-03-31",0.99418756,6.8270004,8.25
"1990-06-30",0.046254271,3.9378556,8.2433333
"1990-09-30",-0.22121931,6.8500077,8.16
"1990-12-31",-1.0059852,6.7346735,7.7433333
"1991-03-31",-0.82618933,2.9791597,6.4266667
"1991-06-30",0.38084382,2.3674545,5.8633333
"1991-09-30",0.21770641,3.0373692,5.6433333
"1991-12-31",0.20385677,3.3050006,4.8166667
"1992-03-31",0.78189158,2.7014092,4.0233333
"1992-06-30",0.69177854,3.0651491,3.77
"1992-09-30",0.70313023,3.0418398,3.2566667
"1992-12-31",0.81814394,3.4885312,3.0366667
"1993-03-31",-0.17043963,2.8995801,3.04
"1993-06-30",0.22221029,2.8787124,3.0
"1993-09-30",0.22781192,1.8462991,3.06
"1993-12-31",1.0516122,3.3020137,2.99
"1994-03-31",0.72996673,2.00456,3.2133333
"1994-06-30",1.0070986,2.2657815,3.94
"1994-09-30",0.26724988,3.6883203,4.4866667
"1994-12-31",0.87204111,2.3214351,5.1666667
"1995-03-31",-0.0020987643,2.9271668,5.81
"1995-06-30",-0.12771629,3.2567019,6.02
"1995-09-30",0.49609578,2.011153,5.7966667
"1995-12-31",0.40412811,2.1746275,5.72
"1996-03-31",0.36264185,3.5409926,5.3633333
"1996-06-30",1.2856896,3.4246785,5.2433333
"1996-09-30",0.48831544,2.2951928,5.3066667
"1996-12-31",0.80947489,3.4603022,5.28
"1997-03-31",0.39919707,2.4295812,5.2766667
"1997-06-30",1.1487125,0.91771862,5.5233333
"1997-09-30",0.87575002,1.9950166,5.5333333
"1997-12-31",0.37178218,2.1500982,5.5066667
"1998-03-31",0.73069627,0.82389319,5.52
"1998-06-30",0.29584929,1.3147095,5.5
"1998-09-30",0.78232589,2.0456217,5.5333333
"1998-12-31",1.1460726,1.872777,4.86
"1999-03-31",0.46577486,1.4595597,4.7333333
"1999-06-30",0.47152203,2.983584,4.7466667
"1999-09-30",0.81669806,2.9614943,5.0933333
"1999-12-31",1.4255869,2.9397292,5.3066667
"2000-03-31",-0.050205261,3.8601974,5.6766667
"2000-06-30",1.229021,3.2015788,6.2733333
"2000-09-30",-0.4453449,3.6388522,6.52
"2000-12-31",0.18651993,2.841521,6.4733333
"2001-03-31",-0.46415573,3.6564719,5.5933333
"2001-06-30",-0.025224449,3.1722221,4.3266667
"2001-09-30",-0.68281419,0.97680146,3.4966667
"2001-12-31",0.065220213,-0.52567359,2.1333333
"2002-03-31",0.50718605,1.2754395,1.7333333
"2002-06-30",0.26544415,3.4309366,1.75
"2002-09-30",0.32039959,2.2218165,1.74
"2002-12-31",-0.13384788,1.9156419,1.4433333
