"date","GDP","GDPCTPI","PCE","FPI","CNP16OV","CE16OV","PRS85006013","UNRATE","AWHNONAG","DFF","BAA","GS10","PRS85006063","CES0500000030","CLF16OV","PCEPILFE","COMPNFB","THREEFYTP10"
"2014-12-31",17615.9,109.081,12061.4,2848.7,248843.0,147344.0,107.541,5.7,33.8,0.1,4.74,2.28,123.201,700.21,156258.0,108.498,112.199,-0.0148
"2015-03-31",17649.3,109.112,12055.4,2868.6,249901.0,148276.0,108.03,5.6,33.7,0.11,4.5,1.97,124.148,702.89,157029.0,108.758,112.612,-0.2233
"2015-06-30",17913.7,109.685,12228.3,2897.9,250461.0,148686.0,108.724,5.4,33.6,0.13,4.83,2.17,125.141,704.73,157193.0,109.264,113.087,-0.1088
"2015-09-30",18064.7,110.048,12358.6,2934.2,251099.0,148892.0,108.847,5.2,33.7,0.13,5.24,2.22,125.941,709.24,156962.0,109.627,113.938,-0.1059
"1959-03-31",511.1,17.189,309.9,79.3,114714.0,63940.0,45.919,5.8,NA,2.58,4.87,3.99,4.066,NA,67884.0,17.611,7.565,NA
"1959-06-30",524.2,17.237,315.9,82.1,115139.0,64772.0,46.654,5.1,NA,3.08,4.95,4.26,4.178,NA,68265.0,17.7,7.627,NA
"1959-09-30",525.2,17.308,321.1,83.2,115551.0,64875.0,46.66,5.3,NA,3.57,5.12,4.5,4.191,NA,68505.0,17.816,7.672,NA
"1959-12-31",529.3,17.375,323.2,82.4,115918.0,64927.0,46.779,5.6,NA,3.99,5.27,4.58,4.232,NA,68783.0,17.918,7.746,NA
"1960-03-31",543.3,17.41,326.7,85.3,116708.0,65213.0,47.172,5.1,NA,3.93,5.31,4.49,4.349,NA,68770.0,17.976,7.913,NA
"1960-06-30",542.7,17.473,332.6,83.9,117037.0,66061.0,47.231,5.2,NA,3.7,5.25,4.26,4.385,NA,69713.0,18.045,7.963,NA
"1960-09-30",546.0,17.552,332.5,82.1,117411.0,66024.0,46.916,5.5,NA,2.94,5.1,3.83,4.386,NA,69912.0,18.118,8.011,NA
"1960-12-31",541.1,17.631,334.4,81.8,117824.0,65840.0,46.674,6.3,NA,2.3,5.1,3.89,4.365,NA,70239.0,18.178,8.047,NA
"1961-03-31",545.9,17.651,335.0,80.9,118254.0,65738.0,46.505,6.8,NA,1.99,5.06,3.79,4.378,NA,70523.0,18.209,8.117,NA
"1961-06-30",557.4,17.688,339.9,82.3,118636.0,65605.0,46.414,7.0,NA,1.73,5.02,3.79,4.429,NA,70532.0,18.269,8.231,NA
"1961-09-30",568.2,17.727,342.9,84.3,119001.0,65667.0,46.62,6.8,NA,1.68,5.11,3.98,4.488,NA,70429.0,18.35,8.292,NA
"1961-12-31",581.6,17.769,350.1,86.9,119190.0,65967.0,47.032,6.2,NA,2.4,5.11,3.97,4.579,NA,70315.0,18.396,8.353,NA
"1962-03-31",595.2,17.859,355.4,88.7,119379.0,66380.0,47.325,5.6,NA,2.46,5.06,4.02,4.669,NA,70337.0,18.465,8.486,NA
"1962-06-30",602.6,17.908,361.0,91.3,119819.0,66577.0,47.666,5.5,NA,2.61,5.01,3.87,4.756,NA,70448.0,18.536,8.543,NA
"1962-09-30",609.6,17.95,364.9,92.0,120368.0,66881.0,47.587,5.6,NA,2.85,5.05,3.99,4.779,NA,70812.0,18.595,8.602,NA
"1962-12-31",613.1,17.992,371.1,91.6,121046.0,66969.0,47.469,5.5,NA,2.92,4.96,3.9,4.793,NA,70881.0,18.627,8.682,NA
"1963-03-31",622.7,18.08,374.7,92.8,121640.0,67149.0,47.704,5.8,NA,2.97,4.89,3.89,4.869,NA,71277.0,18.688,8.768,NA
"1963-06-30",631.8,18.094,378.8,96.8,122167.0,67635.0,47.908,5.7,NA,2.96,4.85,3.96,4.925,NA,71718.0,18.755,8.812,NA
"1963-09-30",645.0,18.112,385.8,98.9,122670.0,67996.0,48.167,5.5,NA,3.33,4.84,4.03,4.989,NA,71958.0,18.825,8.902,NA
"1963-12-31",654.8,18.231,390.5,102.1,123189.0,68258.0,48.417,5.6,NA,3.45,4.84,4.12,5.086,NA,72296.0,18.917,9.005,NA
"1964-03-31",671.1,18.3,400.1,105.3,123708.0,68614.0,48.83,5.5,38.4,3.46,4.83,4.18,5.176,96.0,72584.0,18.999,8.998,NA
"1964-06-30",680.8,18.355,408.1,106.1,124203.0,69402.0,48.937,5.2,38.6,3.49,4.85,4.2,5.256,97.4,73234.0,19.058,9.098,NA
"1964-09-30",692.8,18.447,417.0,107.9,124739.0,69480.0,49.354,5.0,38.5,3.46,4.82,4.19,5.36,97.92,73138.0,19.113,9.217,NA
"1964-12-31",698.4,18.526,419.6,110.0,125289.0,69710.0,49.769,5.0,38.6,3.58,4.81,4.17,5.452,98.95,73353.0,19.164,9.286,NA
