"date","obs_ois1","obs_ois2","obs_ois3","obs_ois4","obs_ois5","obs_ois6","obs_ois7","obs_ois8","obs_ois9","obs_ois10","obs_ois11","obs_ois12","obs_ois13"
"2008-12-31",0.2,0.4,0.6,0.8,1.0,1.2,1.4,1.6,1.8,2.0,2.1,2.2,2.4
"2009-03-31",0.2,0.3,0.5,0.6,0.8,1.1,1.3,1.5,1.7,2.0,2.2,2.4,2.5
"2009-06-30",0.2,0.4,0.7,1.1,1.4,1.8,2.2,2.6,2.9,3.2,3.5,3.7,4.0
"2009-09-30",0.2,0.4,0.7,1.0,1.4,1.8,2.1,2.4,2.7,2.9,3.1,3.3,3.6
"2009-12-31",0.2,0.4,0.8,1.2,1.6,2.0,2.4,2.7,3.0,3.3,3.5,3.7,4.0
"2010-03-31",0.2,0.4,0.6,0.9,1.2,1.6,1.9,2.3,2.6,2.9,3.1,3.4,3.6
"2010-06-30",0.2,0.3,0.4,0.5,0.6,0.8,1.0,1.2,1.4,1.7,1.9,2.2,2.2
"2010-09-30",0.2,0.2,0.2,0.3,0.4,0.5,0.6,0.8,0.9,1.1,1.3,1.5,1.6
"2010-12-31",0.2,0.2,0.3,0.4,0.6,0.8,1.0,1.3,1.6,1.8,2.1,2.4,2.6
"2011-03-31",0.1,0.2,0.4,0.7,0.9,1.2,1.5,1.8,2.1,2.4,2.7,2.9,3.2
"2011-06-30",0.1,0.2,0.3,0.4,0.5,0.7,0.9,1.2,1.4,1.7,2.0,2.2,2.4
"2011-09-30",0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.6,0.8,0.9,1.0
"2011-12-31",0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.6,0.7,0.9,1.0
"2012-03-31",0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.5,0.6,0.7,0.9,1.0,1.2
"2012-06-30",0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.8
"2012-09-30",0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.6,0.7
"2012-12-31",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.5,0.6,0.8
"2013-03-31",0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.6,0.7
"2013-06-30",0.1,0.2,0.2,0.3,0.4,0.5,0.7,0.8,1.0,1.2,1.3,1.5,1.7
"2013-09-30",0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.6,0.7,0.9,1.1,1.3,1.5
"2013-12-31",0.1,0.1,0.1,0.2,0.3,0.4,0.6,0.8,1.0,1.2,1.4,1.7,1.9
"2014-03-31",0.1,0.1,0.1,0.2,0.4,0.5,0.7,0.9,1.1,1.4,1.7,1.9,2.2
"2014-06-30",0.1,0.1,0.2,0.3,0.4,0.6,0.8,1.0,1.2,1.4,1.7,1.9,2.2
"2014-09-30",0.1,0.1,0.2,0.4,0.6,0.9,1.1,1.4,1.6,1.9,2.1,2.3,2.5
"2014-12-31",0.1,0.2,0.4,0.5,0.7,0.9,1.2,1.4,1.6,1.8,1.9,2.1,2.3
