date,GDP,CNP16OV,GDPDEF,AWHNONAG,CE16OV,COMPNFB,DFF,PCE,FPI
1959-03-31,510.33,114714.0,16.347,,63940.0,7.09,2.58,309.5,79.29
1959-06-30,522.653,115139.0,16.372,,64772.0,7.149,3.08,315.5,82.093
1959-09-30,525.034,115551.0,16.435,,64875.0,7.191,3.57,320.7,83.222
1959-12-31,528.6,115918.0,16.499,,64927.0,7.261,3.99,322.9,82.404
1960-03-31,542.648,116708.0,16.566,,65213.0,7.415,3.93,326.4,85.276
1960-06-30,541.08,117037.0,16.607,,66061.0,7.464,3.7,332.2,83.872
1960-09-30,545.604,117411.0,16.665,,66024.0,7.509,2.94,332.1,82.057
1960-12-31,540.197,117824.0,16.714,,65840.0,7.542,2.3,334.0,81.775
1961-03-31,545.018,118254.0,16.75,,65738.0,7.608,1.99,334.5,80.926
1961-06-30,555.545,118636.0,16.789,,65605.0,7.715,1.73,339.5,82.316
1961-09-30,567.664,119001.0,16.832,,65667.0,7.772,1.68,342.4,84.261
1961-12-31,580.612,119190.0,16.885,,65967.0,7.828,2.4,349.6,86.935
1962-03-31,594.013,119379.0,16.972,,66380.0,7.953,2.46,354.9,88.666
1962-06-30,600.366,119819.0,16.999,,66577.0,8.007,2.61,360.5,91.262
1962-09-30,609.027,120368.0,17.035,,66881.0,8.063,2.85,364.4,91.972
1962-12-31,612.28,121046.0,17.07,,66969.0,8.136,2.92,370.6,91.604
1963-03-31,621.672,121640.0,17.145,,67149.0,8.218,2.97,374.3,92.821
1963-06-30,629.752,122167.0,17.175,,67635.0,8.259,2.96,378.4,96.814
1963-09-30,644.444,122670.0,17.198,,67996.0,8.344,3.33,385.4,98.896
1963-12-31,653.938,123189.0,17.337,,68258.0,8.439,3.45,390.0,102.125
1964-03-31,669.822,123708.0,17.392,38.4,68614.0,8.426,3.46,399.6,105.35
1964-06-30,678.674,124203.0,17.432,38.6,69402.0,8.52,3.49,407.5,106.062
1964-09-30,692.031,124739.0,17.502,38.5,69480.0,8.632,3.46,416.4,107.939
1964-12-31,697.319,125289.0,17.581,38.6,69710.0,8.695,3.58,419.0,109.968
1965-03-31,717.79,125814.0,17.67,38.7,70188.0,8.73,3.98,429.7,114.998
1965-06-30,730.191,126325.0,17.751,38.7,70897.0,8.789,4.08,436.6,118.484
1965-09-30,749.323,126745.0,17.819,38.6,71369.0,8.881,4.08,445.8,121.945
1965-12-31,771.857,127169.0,17.942,38.6,71827.0,9.012,4.17,459.8,126.168
1966-03-31,795.734,127511.0,18.057,38.7,72173.0,9.168,4.56,470.1,130.328
1966-06-30,804.981,127869.0,18.205,38.6,72594.0,9.314,4.91,475.2,131.185
1966-09-30,819.638,128234.0,18.381,38.4,73088.0,9.447,5.41,484.3,131.342
1966-12-31,833.302,128617.0,18.535,38.3,73657.0,9.575,5.56,490.1,129.351
1967-03-31,844.17,129044.0,18.612,38.0,73572.0,9.705,4.82,494.3,127.388
1967-06-30,848.983,129527.0,18.707,37.8,74001.0,9.863,3.99,503.4,131.154
1967-09-30,865.233,130166.0,18.886,37.8,74714.0,9.996,3.89,510.7,133.571
1967-12-31,881.439,130757.0,19.096,37.8,75216.0,10.132,4.17,518.2,139.22
1968-03-31,909.387,131267.0,19.308,37.7,75103.0,10.404,4.79,536.3,143.85
1968-06-30,934.344,131712.0,19.511,37.7,75950.0,10.573,5.98,550.0,144.862
1968-09-30,950.825,132250.0,19.703,37.7,76101.0,10.746,5.95,566.1,148.003
1968-12-31,968.03,132880.0,19.981,37.6,76499.0,10.96,5.92,574.9,154.754
1969-03-31,993.337,133476.0,20.187,37.6,77166.0,11.11,6.57,587.0,160.899
1969-06-30,1009.02,134020.0,20.444,37.6,77605.0,11.289,8.33,598.4,163.499
