date,AWHNONAG,CE16OV,DFF,PCE,CNP16OV,GDPDEF,GDP,COMPNFB,FPI
1959-03-31,,63940.0,2.58,309.5,114714.0,16.347,510.33,7.09,79.29
1959-06-30,,64772.0,3.08,315.5,115139.0,16.372,522.653,7.149,82.093
1959-09-30,,64875.0,3.57,320.7,115551.0,16.435,525.034,7.191,83.222
1959-12-31,,64927.0,3.99,322.9,115918.0,16.499,528.6,7.261,82.404
1960-03-31,,65213.0,3.93,326.4,116708.0,16.566,542.648,7.415,85.276
1960-06-30,,66061.0,3.7,332.2,117037.0,16.607,541.08,7.464,83.872
1960-09-30,,66024.0,2.94,332.1,117411.0,16.665,545.604,7.509,82.057
1960-12-31,,65840.0,2.3,334.0,117824.0,16.714,540.197,7.542,81.775
1961-03-31,,65738.0,1.99,334.5,118254.0,16.75,545.018,7.608,80.926
1961-06-30,,65605.0,1.73,339.5,118636.0,16.789,555.545,7.715,82.316
1961-09-30,,65667.0,1.68,342.4,119001.0,16.832,567.664,7.772,84.261
1961-12-31,,65967.0,2.4,349.6,119190.0,16.885,580.612,7.828,86.935
1962-03-31,,66380.0,2.46,354.9,119379.0,16.972,594.013,7.953,88.666
1962-06-30,,66577.0,2.61,360.5,119819.0,16.999,600.366,8.007,91.262
1962-09-30,,66881.0,2.85,364.4,120368.0,17.035,609.027,8.063,91.972
1962-12-31,,66969.0,2.92,370.6,121046.0,17.07,612.28,8.136,91.604
1963-03-31,,67149.0,2.97,374.3,121640.0,17.145,621.672,8.218,92.821
1963-06-30,,67635.0,2.96,378.4,122167.0,17.175,629.752,8.259,96.814
1963-09-30,,67996.0,3.33,385.4,122670.0,17.198,644.444,8.344,98.896
1963-12-31,,68258.0,3.45,390.0,123189.0,17.337,653.938,8.439,102.125
1964-03-31,38.4,68614.0,3.46,399.6,123708.0,17.392,669.822,8.426,105.35
1964-06-30,38.6,69402.0,3.49,407.5,124203.0,17.432,678.674,8.52,106.062
1964-09-30,38.5,69480.0,3.46,416.4,124739.0,17.502,692.031,8.632,107.939
1964-12-31,38.6,69710.0,3.58,419.0,125289.0,17.581,697.319,8.695,109.968
1965-03-31,38.7,70188.0,3.98,429.7,125814.0,17.67,717.79,8.73,114.998
1965-06-30,38.7,70897.0,4.08,436.6,126325.0,17.751,730.191,8.789,118.484
1965-09-30,38.6,71369.0,4.08,445.8,126745.0,17.819,749.323,8.881,121.945
1965-12-31,38.6,71827.0,4.17,459.8,127169.0,17.942,771.857,9.012,126.168
1966-03-31,38.7,72173.0,4.56,470.1,127511.0,18.057,795.734,9.168,130.328
1966-06-30,38.6,72594.0,4.91,475.2,127869.0,18.205,804.981,9.314,131.185
1966-09-30,38.4,73088.0,5.41,484.3,128234.0,18.381,819.638,9.447,131.342
1966-12-31,38.3,73657.0,5.56,490.1,128617.0,18.535,833.302,9.575,129.351
1967-03-31,38.0,73572.0,4.82,494.3,129044.0,18.612,844.17,9.705,127.388
1967-06-30,37.8,74001.0,3.99,503.4,129527.0,18.707,848.983,9.863,131.154
1967-09-30,37.8,74714.0,3.89,510.7,130166.0,18.886,865.233,9.996,133.571
1967-12-31,37.8,75216.0,4.17,518.2,130757.0,19.096,881.439,10.132,139.22
1968-03-31,37.7,75103.0,4.79,536.3,131267.0,19.308,909.387,10.404,143.85
1968-06-30,37.7,75950.0,5.98,550.0,131712.0,19.511,934.344,10.573,144.862
1968-09-30,37.7,76101.0,5.95,566.1,132250.0,19.703,950.825,10.746,148.003
1968-12-31,37.6,76499.0,5.92,574.9,132880.0,19.981,968.03,10.96,154.754
1969-03-31,37.6,77166.0,6.57,587.0,133476.0,20.187,993.337,11.11,160.899
1969-06-30,37.6,77605.0,8.33,598.4,134020.0,20.444,1009.02,11.289,163.499
1969-09-30,37.5,78153.0,8.98,608.6,134595.0,20.731,1029.956,11.491,167.37
1969-12-31,37.5,78575.0,8.94,620.6,135247.0,20.998,1038.147,11.713,165.787
1970-03-31,37.3,78780.0,8.56,631.7,135950.0,21.294,1051.2,11.926,166.289
1970-06-30,37.0,78636.0,7.88,641.6,136677.0,21.591,1067.375,12.116,166.374
1970-09-30,36.9,78616.0,6.71,653.5,137456.0,21.768,1086.059,12.314,168.821
1970-12-31,36.8,78643.0,5.57,660.2,138260.0,22.056,1088.608,12.437,170.738
1971-03-31,36.7,78717.0,3.86,679.2,139034.0,22.391,1135.156,12.693,177.241
1971-06-30,36.8,78961.0,4.57,693.2,139827.0,22.685,1156.271,12.879,186.455
1971-09-30,36.7,79511.0,5.48,705.6,140603.0,22.916,1177.675,13.056,191.87
1971-12-31,36.8,80229.0,4.75,721.7,141402.0,23.107,1190.297,13.146,198.706
1972-03-31,36.9,81213.0,3.55,739.0,143005.0,23.458,1230.609,13.512,209.741
1972-06-30,36.9,81875.0,4.3,757.4,143759.0,23.604,1266.369,13.669,214.8
1972-09-30,36.8,82450.0,4.74,775.8,144523.0,23.83,1290.566,13.851,219.375
1972-12-31,36.9,83002.0,5.15,800.5,145215.0,24.134,1328.904,14.112,232.224
1973-03-31,36.9,83842.0,6.54,825.0,145964.0,24.412,1377.49,14.483,243.763
1973-06-30,36.9,84797.0,7.82,840.5,146720.0,24.787,1413.887,14.684,249.99
1973-09-30,36.8,85330.0,10.56,858.9,147478.0,25.27,1433.838,14.938,254.574
1973-12-31,36.8,86236.0,10.0,873.9,148226.0,25.773,1476.289,15.24,255.865
1974-03-31,36.6,86709.0,9.33,891.9,148987.0,26.26,1491.209,15.588,255.842
1974-06-30,36.5,86834.0,11.25,920.4,149747.0,26.88,1530.056,15.996,259.975
1974-09-30,36.5,87079.0,12.1,949.3,150498.0,27.668,1560.026,16.471,265.434
1974-12-31,36.2,86588.0,9.34,959.1,151253.0,28.482,1599.679,16.926,260.893
1975-03-31,35.9,85357.0,6.31,985.2,151987.0,29.129,1616.116,17.44,254.335
1975-06-30,35.9,85332.0,5.42,1013.6,152708.0,29.562,1651.853,17.812,257.235
1975-09-30,36.0,86136.0,6.16,1047.2,153579.0,30.084,1709.82,18.127,266.579
1975-12-31,36.1,86497.0,5.41,1076.3,154336.0,30.587,1761.831,18.422,275.888
1976-03-31,36.2,87686.0,4.83,1109.9,155075.0,30.911,1820.487,18.775,289.945
1976-06-30,36.1,88591.0,5.2,1129.5,155774.0,31.222,1852.332,19.129,299.855
1976-09-30,36.1,89163.0,5.28,1158.8,156527.0,31.626,1886.558,19.53,307.501
1976-12-31,35.9,89570.0,4.87,1192.4,157222.0,32.192,1934.273,19.946,327.132
1977-03-31,35.8,90359.0,4.66,1228.2,157911.0,32.711,1988.648,20.324,345.491
1977-06-30,36.0,91661.0,5.16,1256.0,158652.0,33.172,2055.909,20.737,370.233
1977-09-30,35.9,92409.0,5.82,1286.9,159430.0,33.576,2118.473,21.14,383.251
1977-12-31,35.9,93639.0,6.51,1324.8,160140.0,34.301,2164.27,21.506,398.179
1978-03-31,35.6,94553.0,6.76,1354.0,160829.0,34.8,2202.76,22.076,409.346
1978-06-30,35.8,95835.0,7.28,1411.4,161525.0,35.465,2331.633,22.454,446.328
1978-09-30,35.8,96397.0,8.09,1442.2,162265.0,36.067,2395.053,22.883,467.401
1978-12-31,35.7,97400.0,9.58,1481.3,163024.0,36.806,2476.949,23.452,487.269
1979-03-31,35.7,98252.0,10.07,1517.1,163756.0,37.476,2526.61,24.056,501.957
1979-06-30,35.5,98371.0,10.18,1557.6,164447.0,38.394,2591.247,24.608,511.892
1979-09-30,35.6,99041.0,10.94,1611.9,165200.0,39.234,2667.565,25.154,533.49
1979-12-31,35.6,99637.0,13.58,1655.1,166055.0,39.962,2723.883,25.793,539.323
1980-03-31,35.4,99862.0,15.07,1702.3,166762.0,40.801,2789.842,26.519,544.663
1980-06-30,35.1,98953.0,12.67,1704.7,167416.0,41.772,2797.352,27.239,511.544
1980-09-30,35.0,98899.0,9.82,1763.8,168111.0,42.705,2856.483,27.935,528.927
1980-12-31,35.3,99499.0,15.85,1831.9,168694.0,43.818,2985.557,28.677,560.59
1981-03-31,35.3,100239.0,16.6,1885.7,169279.0,44.972,3124.206,29.398,580.626
1981-06-30,35.3,100801.0,17.79,1917.6,169837.0,45.863,3162.532,29.906,598.129
1981-09-30,35.1,100482.0,17.59,1958.1,170413.0,46.726,3260.609,30.578,608.337
1981-12-31,35.0,100077.0,13.59,1974.4,170990.0,47.534,3280.818,31.084,618.589
1982-03-31,34.7,99709.0,14.21,2014.1,171497.0,48.188,3274.302,31.909,609.784
1982-06-30,34.8,99745.0,14.51,2039.6,172020.0,48.814,3331.972,32.157,597.786
1982-09-30,34.8,99543.0,11.01,2085.6,172522.0,49.506,3366.322,32.663,587.157
1982-12-31,34.6,99120.0,9.28,2145.6,173046.0,50.019,3402.561,33.147,589.062
1983-03-31,34.7,99143.0,8.66,2184.6,173505.0,50.397,3473.413,33.48,600.58
1983-06-30,34.9,99945.0,8.8,2249.4,173957.0,50.771,3578.848,33.8,621.454
1983-09-30,34.9,101611.0,9.46,2319.9,174449.0,51.311,3689.179,33.98,656.472
1983-12-31,35.1,102588.0,9.43,2372.5,174950.0,51.7,3794.706,34.368,694.564
1984-03-31,35.2,103664.0,9.69,2418.2,175679.0,52.223,3908.054,34.759,717.89
1984-06-30,35.1,105040.0,10.55,2475.9,176125.0,52.67,4009.601,35.125,749.573
1984-09-30,35.1,105363.0,11.39,2513.5,176595.0,53.138,4084.25,35.64,767.514
1984-12-31,35.0,105944.0,9.26,2561.8,177132.0,53.536,4148.551,35.927,783.762
1985-03-31,34.9,106615.0,8.48,2636.0,177522.0,54.065,4230.168,36.386,793.636
1985-06-30,34.9,106791.0,7.92,2681.8,177946.0,54.413,4294.887,36.734,805.394
1985-09-30,34.8,107186.0,7.9,2754.2,178413.0,54.741,4386.773,37.278,805.854
1985-12-31,34.8,108023.0,8.1,2779.4,178941.0,55.047,4444.094,37.984,826.426
1986-03-31,34.8,108735.0,7.83,2823.6,179825.0,55.321,4507.894,38.529,833.06
1986-06-30,34.6,109206.0,6.92,2851.5,180321.0,55.531,4545.34,38.971,839.574
1986-09-30,34.6,109970.0,6.21,2917.2,180836.0,55.758,4607.669,39.461,842.851
1986-12-31,34.6,110492.0,6.27,2952.8,181365.0,56.062,4657.627,39.993,854.822
1987-03-31,34.8,111206.0,6.22,2983.5,182001.0,56.418,4722.156,40.17,843.222
1987-06-30,34.7,112158.0,6.65,3053.3,182527.0,56.809,4806.16,40.47,858.064
1987-09-30,34.7,112867.0,6.84,3117.3,183016.0,57.239,4884.555,40.885,875.449
1987-12-31,34.7,113527.0,6.92,3150.9,183467.0,57.695,5007.994,41.365,883.376
1988-03-31,34.6,114093.0,6.67,3231.9,183967.0,58.147,5073.372,42.082,891.613
1988-06-30,34.6,114623.0,7.15,3291.7,184389.0,58.713,5190.036,42.59,914.877
1988-09-30,34.5,115233.0,7.98,3361.9,184840.0,59.415,5282.835,43.118,923.828
1988-12-31,34.6,115947.0,8.47,3434.5,185253.0,59.929,5399.509,43.441,943.605
1989-03-31,34.6,116835.0,9.45,3490.2,185773.0,60.553,5511.253,43.566,957.35
1989-06-30,34.5,117205.0,9.73,3553.8,186178.0,61.198,5612.463,43.747,964.79
1989-09-30,34.5,117494.0,9.08,3609.4,186602.0,61.645,5695.365,44.145,986.635
1989-12-31,34.4,117774.0,8.61,3653.7,187018.0,62.084,5747.237,44.778,979.257
1990-03-31,34.4,119114.0,8.25,3737.9,188520.0,62.754,5872.701,45.643,996.884
1990-06-30,34.3,118995.0,8.24,3783.4,188916.0,63.457,5960.028,46.535,981.02
1990-09-30,34.2,118712.0,8.16,3846.7,189353.0,64.001,6015.116,47.155,978.919
1990-12-31,34.2,118361.0,7.74,3867.9,189866.0,64.477,6004.733,47.522,958.787
1991-03-31,34.1,117782.0,6.43,3873.6,190272.0,65.109,6035.178,47.795,940.088
1991-06-30,34.1,117729.0,5.86,3926.9,190656.0,65.587,6126.862,48.715,944.575
1991-09-30,34.1,117660.0,5.65,3973.3,191121.0,66.099,6205.937,49.297,946.633
1991-12-31,34.1,117679.0,4.82,4000.0,191651.0,66.492,6264.54,49.954,947.655
1992-03-31,34.1,117958.0,4.02,4100.4,192075.0,66.739,6363.102,51.246,956.571
1992-06-30,34.3,118407.0,3.77,4155.7,192507.0,67.14,6470.763,51.72,989.875
1992-09-30,34.2,118753.0,3.26,4227.0,193024.0,67.468,6566.641,52.322,1003.65
1992-12-31,34.2,118834.0,3.03,4307.2,193616.0,67.932,6680.803,52.605,1036.618
1993-03-31,34.2,119297.0,3.04,4349.5,194106.0,68.313,6729.459,52.215,1047.889
1993-06-30,34.3,119960.0,3.0,4418.6,194555.0,68.719,6808.939,52.588,1070.375
